title,year,type,abstract,main_class,sub_class,third_class
Identify experts and influencers in a social network,2014-01-01,Grant,"On embodiment accesses a set of information comprising one or more elements of information relating to a subject matter, wherein the one or more elements of information have been shared among one or more users of a social-networking system; for each element of information, determines a rate of sharing of the element of information among the one or more users and identifies one or more first users who cause the rate of sharing of the element of information to increase; and identifies one or more influencers associated with the subject matter from the one or more first users identified for each element of information.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Search query disambiguation confirmation,2012-01-01,Grant,"A user is made able to configure a search query to be responsive to temporal factors in order to adjust the search query to more accurately reflect the user's true information need. By adjusting the search query in this way, the user is more likely to receive satisfactory search results.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Electronic message delivery based on presence information,2012-01-01,Grant,"An electronic message may be reconfigured to effect an enhanced notification using an input interface to receive at least one electronic message created by or on behalf of a message source for delivery to an intended recipient. A matching engine determines whether the electronic message corresponds to a predetermined definition of an enhanced notification. An enhancement engine reconfigures the electronic message to the enhanced notification if stored information related to the intended recipient indicates that the intended recipient is subscribed to receive the enhanced notification. Reconfiguring the electronic message may include reconfiguring the message to provide special handling, routing or presentation.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Inferring user profile attributes from social information,2014-01-01,Grant,"User profile information for a user of a social networking system is inferred based on information about user profile of the user's connections in the social networking system. The inferred user profile attributes may include age, gender, education, affiliations, location, and the like. To infer a value of a user profile attribute, the system may determine an aggregate value based on the attributes of the user's connections. A confidence score may also be associated with the inferred attribute value. The set of connections analyzed to infer a user profile attribute may depend on the attribute, the types of connections, and the interactions between the user and the connections. The inferred attribute values may be used to update the user's profile and to determine information relevant to the user to be presented to the user (e.g., targeting advertisements to the user based on the user's inferred attributes).",PHYSICS,COMPUTING; CALCULATING; COUNTING,COMPUTER SYSTEMS BASED ON SPECIFIC COMPUTATIONAL MODELS
Image panning and zooming effect,2012-01-01,Grant,"In one embodiment, when an image is displayed on an electronic device, the image may be panned from one portion to another portion based on information associated with the image or a user viewing the image. In some embodiments, the image may pan starting from a leftmost user in the image and moving to the rightmost user in the image. In some embodiments, the image may pan starting from a specific user near the center of the image and zooming outward until the entire image is displayed. In some embodiments, the image may pan starting from a first user in the image having a highest affinity with the user viewing the image, and ending with a second user in the image having a lowest affinity with the user viewing the image.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Systems and methods for multiple photo selection,2012-01-01,Grant,"Techniques to allow for ease of navigation within a photo browsing interface of a social networking system. In one embodiment, designations of a first image and a second image for sharing are received from within at least one of a single-image view and a camera view. Based on the designations, the first image and the second image are added to a communication. The designations may be based on a user selection of an option provided by an interface of a mobile device. The first image and the second image may be received from within a social networking application or from within a dedicated camera application.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Using a wireless radio to manage power consumption,2013-01-01,Grant,Particular embodiments of a wireless communication system comprise a wireless device and a base station having at least one network connection and an RF transceiver. The base station may be configured to generate an RF signal and communicate with the wireless device using backscatter communication. The wireless device may be configured to generate operating power for the wireless device from the RF signal and to receive data transmitted using the RF signal and communicate data to the base station using backscatter communication.,ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,TRANSMISSION
State change alerts mechanism,2012-01-01,Grant,A communications system including one or more alert gates and an alert controller. Each alert gate is configured to detect a different type of alert feed corresponding to a particular kind of alert. The alert controller is connected to the alert gates and operable to receive detected alerts from the alert gates and to deliver the detected alerts to a user of the communications system.,ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
"Apparatus, method and program for image search",2012-01-01,Grant,"One or more representative images extracted from an image group comprising a plurality of images is/are displayed. A part or all of the representative image or images, such as a main subject region or a background region including a search target, is/are selected from the representative image or images, and used for setting search conditions. The image group is searched for an image or images agreeing with the search conditions having been set.",PHYSICS,COMPUTING; CALCULATING; COUNTING,RECOGNITION OF DATA; PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS
Enabling participation in an online community using visual machine-readable symbols,2015-01-01,Grant,"A facility for coordinating an online discussion is described. The facility receives an indication that a user has captured a machine-readable symbol encoding an identifier that identifies a particular online discussion. In response, the facility incorporates into an online forum that hosts this online discussion an indication that this user captured a symbol encoding an identifier that identifies this online discussion.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Communicating user location information among users of communication devices,2013-01-01,Grant,"A computer-implemented method implemented via the Internet for coordinating a current or future event between a user of a mobile Internet device and other users communicating through the Internet. The method includes receiving the current or future activity information pertaining to the future event from the user via the mobile Internet device. The current activity pertains to an activity occurring at a current time relative to a time the future activity information is received. The future activity pertains to an activity occurring at a future time relative to a time the future activity information is received. The method further includes transmitting the current or future activity information to a backend database coupled to the Internet, the backend database being remote from the mobile Internet device. The method further includes rendering the current or future activity information accessible to at least one recipient via the Internet.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Dynamic duty-cycling of processor of mobile device based on operating condition of mobile device,2012-01-01,Grant,"In one embodiment, a method includes recording a first location of a mobile device; determining, by one or more processors of a geographic-positioning component of the mobile device, on a periodic basis, a current location of the mobile device; determining, by the processors of the geographic-positioning component, whether the current location is outside a geographic region defined at least in part by the first location; and if the current location is outside the geographic region, then transmitting, by the processors of the geographic-positioning component, a message to one or more other processors of the mobile device, the message causing one or more of the other processors to transition from a sleep state to an active state.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Progressive background uploading,2012-01-01,Grant,"In one embodiment, a method includes accessing a first instance of content to be uploaded to a server, generating a second instance of the content from the first instance, automatically uploading to the server the second instance of the content, and automatically uploading to the server the first instance of the content in response to occurrence of a pre-determined upload condition. The first instance has a first file size and the second instance has a second file size that is smaller than the first file size. The upload of the second instance makes the content available for access at least in part by one or more second users at an immediate point in time. The upload of the first instance of the content makes the content available for access by the second users in an original version.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Structured search queries based on social-graph information,2014-01-01,Grant,"In particular embodiments, a method includes receiving an unstructured text query, identifying nodes and edges from a social graph that correspond to n-grams in the text query, and then generating structured queries that include references to the identified nodes and edges.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Meeting notification and modification service,2013-01-01,Grant,"Techniques are described for providing a meeting notification and automatic modification service. A system may be configured to identify an appointment in a calendar application, identify a geographic location of the appointment, and identify, before the appointment time, a geographic location of a first participant of the appointment. Based on the geographic information, the system may identify a route extending from the geographic location of the first participant to the geographic location of the appointment, and may identify a travel time associated with the route. Based on the travel time and the appointment time, the system may determine whether the first participant is estimated to arrive at the appointment on time and, based on the determination, the system may send a message to participants of the appointment or dynamically reschedule the appointment.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,WIRELESS COMMUNICATIONS NETWORKS
Communication user interface systems and methods,2013-01-01,Grant,"The principles described herein provide methods and systems of providing a user interface to allow a user to compose and send an electronic communication quickly and conveniently. For example, a user interface includes split-pane interface having a navigable tray area and a composition area. The navigable tray area may include categories of trays, each tray including a navigable listing of content items that may form part of the electronic communication. The navigable tray area allows the user to navigate from one tray to the next to access different types of content items to be used in composing the electronic communication. When composing an electronic communication, a user can select an item in a tray, and the item is previewed in the composition area and can become part of the electronic communication.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Techniques for server-controlled tiling of location-based information,2013-01-01,Grant,"Techniques for server-controlled tiling of location-based information are described. An apparatus may comprise a communication component and a tile component. The communication component may be operative to receive a location-based search request from a client application, the location-based search request comprising a geographic area, and to transmit a plurality of tiles to the client application. The tile component may be operative to determine the plurality of tiles as a set of tiles that cover the geographic area, each tile of the plurality of tiles covering a portion of the geographic area and comprising a set of locations. Other embodiments are described and claimed.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
System and method for managing an online social network,2013-01-01,Grant,"An online social network is managed using one server for database management tasks and another server, preferably in a distributed configuration, for CPU-intensive computational tasks, such as finding a shortest path between two members or a degree of separation between two members. The additional server has a memory device containing relationship information between members of the online social network and carries out the CPU-intensive computational tasks using this memory device. With this configuration, the number of database lookups is decreased and processing speed is thereby increased.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Dynamically providing a feed of stories about a user of a social networking system,2013-01-01,Grant,"To display a news feed in a social network environment, a social networking system generates news items regarding activities associated with a user of a social network environment. The social networking system may also attach an informational link associated with at least one of the activities to at least one of the news items, limit access to the news items to a predetermined set of viewers, and assign an order to the news items. The news items may be displayed in the assigned order to at least one viewing user of the predetermined set of viewers, and the number of news items displayed may be dynamically limited.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
User interface editor,2012-01-01,Grant,"In one embodiment, a method performed by one or more computing devices including defining a hierarchical structure for a user interface (UI) that includes defining one or more layers of the hierarchical structure, adding one or more objects at each layer, and specifying one or more relationships among particular objects. The method further including associating metadata with each object at each layer, the metadata describing how the corresponding object is presented in the user interface.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Transitions among hierarchical user-interface layers,2012-01-01,Grant,"In one embodiment, one or more components of a user interface are arranged in a hierarchy of layers and displayed to a user. The user interface is presented according to the structure of the hierarchy. In response to a first user interaction with a component that has a parent, the display transitions from a first layer at which the component is presented to a second layer at which the parent of the component is presented, with the second layer being beneath the first layer. In response to a second user interaction with a component that has a child, the display transitions from the first layer at which the component is presented to a third layer at which the child of the component is presented, with the third layer being above the first layer.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Display showing intersection between users of a social networking system,2011-01-01,Grant,"A social networking system generates a friendship page that displays social graph data common to two or more social networking system users. A user requests the page by identifying two or more social networking system. The social networking system obtains social graph data common to the identified social networking system users and generates a friendship page containing that social graph data. The obtained social graph data may include interactions between each of the identified user and/or social networking system objects with which each of the identified users has interacted. Examples of the types of social graph data may include photos, videos, communications, content items, events, locations, friends, family members, biographical data, and location data. The friendship page may be displayed to the requesting user in a web browser or in a native application.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Summary and navigation of hierarchical levels,2012-01-01,Grant,"In one embodiment, one or more components of a user interface are arranged in a hierarchy of layers. The user interface is presented according to the structure of the hierarchy, with a first component of the user interface presented at a first layer. One or more second component are presented at a second layer, the second components being one or more children of the first component and the second layer being one layer above the first layer.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Managing notifications pushed to user devices,2014-01-01,Grant,"In one embodiment, a first computing device determines a communication to be pushed to a second computing device associated with a user. The first computing device determines whether one or more conditions are satisfied for refraining from pushing the communication to the second computing device. The one or more conditions are based at least in part on the relevance of the communication to the user and one or more activities of the user. If the one or more conditions are satisfied, then the first computing device refrains from sending the communication to the second computing device. If the one or more conditions are not satisfied, then the first computing device sends information to push the communication to the second computing device.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Blending customized user dictionaries,2012-01-01,Grant,Techniques for constructing a set of customized dictionaries for a particular user are described. Each of the customized dictionaries in the set may include a different blending of one or more frequently used words collected from texts submitted by one or more users. A copy of the set of customized dictionaries may be sent to each of a plurality of electronic devices associated with the particular user to be stored on the electronic device and to aid the particular user in inputting text to the electronic device.,PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
"Device, system and method for providing distributed online services",2011-01-01,Grant,"A device, system, and method is provided for running mobile applications, including a server for running applications and a client installed in a mobile device. The client may connect to the server via a network. The client may display content, receive user input, and send user input to the server. The server may use the client to receive user input and to display content for running applications for the mobile device.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Animation sequence associated with content item,2012-01-01,Grant,"In one embodiment, a method includes displaying a first content item on a screen of a computing device, the first content item occupying the entire screen and comprising an icon representing a second content item; and in response to a first user input, displaying a first animation sequence depicting the icon opening up to reveal the second content item, the second content item eventually replacing the first content item and occupying the entire screen. In one embodiment, the method further includes in response to a second user input, displaying a second animation sequence depicting the second content item closing down and returning to the icon included in the first content item, the second content item eventually disappearing from the screen.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"IMAGE DATA PROCESSING OR GENERATION, IN GENERAL"
Identifying results responsive to a future location of a client device,2012-01-01,Grant,"A method for identifying a result responsive to a current location of a client device includes receiving, form a client device and at a host, a search query that includes a point of interest and a current location of the client device. The method also includes automatically updating the search query as the current location of the client device changes and instructing the host to identify a potential location associated with the point of interest and located within a user-defined proximity from the current location of the client device.",PHYSICS,MEASURING; TESTING,"MEASURING DISTANCES, LEVELS OR BEARINGS; SURVEYING; NAVIGATION; GYROSCOPIC INSTRUMENTS; PHOTOGRAMMETRY OR VIDEOGRAMMETRY"
Generating metrics for content items presented in an online system,2013-01-01,Grant,"An online system allows creators and owners of content items presented within the system to view real-time metrics related to the content items. The online system stores data describing user interactions with content items in one or more activity logs and processes the activity logs in a distributed manner activity to identify user interactions with content items. For example, activity logs are divided into several portions that are processed in parallel using aggregation operators to generate user interaction aggregations. An aggregation includes one or more user interactions associated with the same content item and sharing certain criteria. From the user interaction aggregations, the online system determines one or more requested metrics, and may combine user interaction aggregations related to different content items when computing metrics.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Managing targeting of advertisements based on user associations with social networking objects,2012-01-01,Grant,"An entity provides a competitive block list for one or more of its objects in a social networking system. The competitive block list identifies advertisers or other entities prevented from targeting advertisements based on connections between users and objects of the entity. If a later received advertisement is targeted based on a connection between a user and an object of the entity, the social networking system determines whether the advertiser associated with the advertisement is included on the competitive block list. If the competitive block list includes the advertiser, the advertisement is determined not to be valid, and not presented to users. Otherwise, the advertisement is determined to be valid, and may be presented to users thereafter.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Server-side rate-limiting algorithms for piggybacking social updates for mobile devices,2014-01-01,Grant,"In one embodiment, device status information is received from a mobile device of a first user. The device status information may include: information related to power for the device, information related to network connectivity of the device, or a notification mode of the device. Outgoing messages may be identified to be sent to the first user. A value may be computed for each of the outgoing messages. The computed value may be based on an affinity score determined with respect to an originator of the message and the first user. Based on the computed value, at least one of the outgoing messages may be selected for placement into an outgoing message queue. Upon the detection of a triggering condition, the selected messages may be sent to the mobile device. The triggering condition may be based on the device status information and the respective values of the outgoing messages.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,WIRELESS COMMUNICATIONS NETWORKS
Transitions among hierarchical user interface components,2012-01-01,Grant,"In one embodiment, one or more components of a user interface are arranged in a hierarchy of layers. The user interface is presented according to the structure of the hierarchy, with a first component of the user interface presented at a first layer. One or more second component are presented at a second layer, the second components being one or more children of the first component and the second layer being one layer above the first layer. Each child component of a parent component is locked to their respective parent component.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Animation sequence associated with image,2012-01-01,Grant,"In one embodiment, an image may be displayed in one of several display modes. When an image is displayed in a first display mode on the screen of an electronic device, a user input may cause the image to transition to a second display mode. An animation sequence is displayed while the image transitions from the first display mode to the second display mode.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Adjusting mobile device state based on user intentions and/or identity,2011-01-01,Grant,"In one embodiment, while a mobile electronic device is in a first operation state, it receives sensor data from one or more sensors of the mobile electronic device. The mobile electronic device analyzes the sensor data to estimate a current intention of a user with respect to the mobile electronic device; and transition from the first operation state to a second operation state based on the current intention of the user with respect to the mobile electronic device.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Communicating plans for users of a social networking system,2013-01-01,Grant,"Exemplary systems and methods for calendaring are provided. Exemplary systems include a natural language receiving component configured to receive a natural language entry corresponding to a future status, a calendar generation engine configured to create a calendar entry based on the natural language entry, a social network database configured for accessing and querying by the calendar generation engine, a privacy component configured to receive a privacy setting indicating a person who is approved to view the calendar entry, and a display module configured to display the calendar entry on a calendar. Exemplary methods include receiving a natural language entry corresponding to a future status, creating a calendar entry, and displaying the calendar entry.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Systems and methods for displaying a digest of messages or notifications without launching applications associated with the messages or notifications,2013-01-01,Grant,"In one embodiment, a method includes displaying a digest of messages and notifications without launching applications associated with the messages or notifications, receiving a user input selecting an interactive element in the digest corresponding to a message or notification, displaying the message or notification corresponding to the selected interactive element without launching the application associated with the message or notification, receiving a second user input interacting with the message or notification, executing a messaging or notification function corresponding to the interaction without launching the application associated with the message or notification.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Systems and methods for context based image compression,2013-01-01,Grant,Techniques for compressing images based on context are provided. A first image and a second image may be identified for display on a client device. One or more contexts of the first image may be identified. One or more contexts of the second image may be identified. A first image quality for the first image may be determined based on the one or more contexts of the first image. A second image quality for the second image may be determined based on the one or more contexts of the second image. The first image may be compressed at the first image quality and the second image at the second image quality. The compressed first image and the compressed second image may be transmitted to the client device.,PHYSICS,COMPUTING; CALCULATING; COUNTING,"IMAGE DATA PROCESSING OR GENERATION, IN GENERAL"
Touch gesture offset,2012-01-01,Grant,"In one embodiment, logic embodied in a computer-readable non-transitory storage medium of a device determines a location of a touch gesture by a user within a touch-sensitive area of the device. The logic selects for the touch gesture based on its location within the touch-sensitive area one of a plurality of pre-determined offsets, the pre-determined offsets being specific to the device, the pre-determined offsets being derived from device-specific empirical data on usage of the device by a plurality of users, and the pre-determined offsets being pre-loaded onto the device. The logic applies the pre-determined offset to the location of the touch gesture to determine a touch input intended by the user.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Composite term index for graph data,2013-01-01,Grant,"An indexing system for graph data. In particular implementations, the indexing system provides for denormalization and replica index functionality to improve query performance.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Filtering suggested structured queries on online social networks,2013-01-01,Grant,"In one embodiment, a method includes accessing a social graph comprising a plurality of nodes and a plurality of edges connecting the nodes, receiving from a user an unstructured text query, generating a set of structured queries based on the text query, calculating a quality score based on the text query and the structured query for each structured query in the set, and filtering the set to remove each structured query having a quality score less than a threshold score.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Sponsored search queries on online social networks,2013-01-01,Grant,"In one embodiment, a method includes accessing a social graph that includes a plurality of nodes and edges, identifying a node corresponding to an advertiser, generating a plurality of structured queries, where each structured query comprises reference to nodes and edges of the social graph, and where at least one structured query is a sponsored query comprising a reference to the identified node and one or more edges that are connected to the identified node, and sending one or more of the structured queries to a user for display, where at least one of the sent structured queries is a sponsored query.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR"
Pushing suggested search queries to mobile devices,2013-01-01,Grant,"In one embodiment, a method includes receiving an indication of a location of a mobile-client system of a user, determining an intent of the user based on the location of the user, generating one or more suggested queries based on the determined intent of the user; and transmitting a notification to the mobile-client system of the user that includes one or more of the suggested queries.",,PHYSICS,COMPUTING; CALCULATING; COUNTING
Dynamically generating recommendations based on social graph information,2012-01-01,Grant,"In one embodiment, a method includes maintaining access to information comprising nodes and edges; receiving a request from a first user corresponding to a first user node for a structured document corresponding to a first concept node; determining a first data set that identifies concept nodes connected by edges with user nodes that are each connected by edges with both the first user node and the first concept node; determining a second data set that identifies concept nodes connected by edges with the first concept node and user nodes that are each connected to the first user node; generating a score for each concept node in the data sets; selecting one or more concept nodes based on their scores as recommended nodes; and transmitting to the client device the structured document and code executable by a client application to render node names or identifiers of the recommended nodes for display.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Determining influence in a social networking system,2012-01-01,Grant,"An influence metric describing the influence of a social networking system object on social networking system users is determined based on affinities between the users and the object. For example, affinities between the associated users and the object are combined to determine the influence metric. Content may be selected for presentation to users based in part on influence metrics of the content. Additionally, influence metrics of objects associated with a user may be combined to determine the relevance of objects associated with the user, which may also be used to select content for presentation to the user.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Sharing location information during a communication session,2014-01-01,Grant,"In one embodiment, a method includes establishing a communication session between a first device and a second device. The first device is a mobile computing device. The location of the first device is received at the second device. The location of the first device is displayed on a graphical user interface of the second device during the communication session.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Method and apparatus for identifying common interest between social network users,2012-01-01,Grant,"Techniques for identifying mutual interests between users of a social networking system are disclosed herein. In one embodiment, a method includes identifying, by a social networking system, a content object with which a first user of the social networking system has interacted. The social networking associates a keyword phrase with the first user. The keyword phrase has been previously associated with the content object. The social networking system further determines a mutual interest for the first user and a second user of the social networking system by identifying a match between the keyword phrase associated with the first user with a keyword phrase associated with the second user.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Moving picture file transmitting server and method of controlling operation of same,2014-01-01,Grant,"A moving picture suitable for display on a mobile telephone is displayed comparatively quickly. When a moving picture is requested, a leading segment of the moving picture is converted. The leading segment has an amount of data which, after the conversion, is less than the amount of data that is displayable on the mobile telephone that issued the request. A succeeding segment, which can be converted while the leading segment is being transmitted to the mobile telephone and viewed by the user of the mobile telephone, is converted. If there is a request for the succeeding segment after the leading segment is viewed, the conversion of the succeeding segment will be finished by the time of the request for succeeding segment. As a result, the succeeding segment can be transmitted to the mobile telephone quickly, and it can be viewed rapidly.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Dynamically updating privacy settings in a social network,2014-01-01,Grant,"A social network allows its members to regulate what data is accessible to other members using one or more privacy settings. A particular member of the social network can modify the one or privacy settings to grant or deny different users access to different data. When a member modifies a privacy setting, the social network determines which information pathways communicating data between members are affected. The affected information pathways are then modified responsive to the privacy setting to communicate data identified by the modified privacy setting and enforce the new privacy restrictions.",PHYSICS,COMPUTING; CALCULATING; COUNTING,ELECTRIC DIGITAL DATA PROCESSING
Call-termination-triggered social interface,2011-01-01,Grant,Methods and systems directed to a call-termination triggered social interface that leverages information associated with an incoming phone number for display to a user of a mobile device post-call and permits the user to conveniently issue commands to the mobile device or social networking system to take specific actions for the number or entity associated with the number on the social network.,ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,TELEPHONIC COMMUNICATION
Predicting the future state of a mobile device user,2012-01-01,Grant,"In one embodiment, a method includes accessing data associated with the mobile-computing-device usage of a user; accessing data associated with past user-states of the user, where the past user-states represent previous activities or actions associated with the user's mobile-computing-device usage; predicting a future user-state of the user based, at least in part, on the accessed data; and adapting the operation of the mobile computing device of the user at the future time based on the predicted future user-state.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,WIRELESS COMMUNICATIONS NETWORKS
Organizing messages into conversation threads,2011-01-01,Grant,"A messaging system that organizes and presents messages to users of the messaging system. The messaging system includes a mailbox module that receives messages and generates conversation threads from the messages. Messages received from different electronic message channels may be aggregated into a common conversation thread. The conversation threads are also organized in a message interface and then presented to a user of the messaging system. The messaging system may include a social networking system that stores social information about users, which can be used to organize the conversation threads. Other features include a multi mode message interface, and a method for adding contextual information to messages.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Automated configuration of new racks and other computing assets in a data center,2014-01-01,Grant,"A configuration tool is used to configure new server racks and computing assets in a data center. When new server racks are placed in a data center, the configuration tool scans the racks to identify any unconfigured server racks and then determines their virtual locations. The tool queries a mapping between the physical and virtual rack locations in the data center to determine the physical location for each rack based on its virtual location. Using the acquired physical and virtual locations for each unconfigured rack, the configuration tool can configure the unconfigured racks. For example, the configuration tool may identify the assets contained in the rack and associate the rack's physical location with those assets. In addition, the configuration tool can determine the rack's VLAN and use that information to configure the TOR switch associated with the rack.",ELECTRICITY,ELECTRIC COMMUNICATION TECHNIQUE,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION"
Animation sequence associated with feedback user-interface element,2012-01-01,Grant,"In one embodiment, a content item and a feedback user-interface (UI) element associated with the content item may be displayed on a user device. The feedback UI element enables a user to provide feedback with respect to the content item. In response to a user interaction with the feedback UI element, an animation sequence featuring the feedback UI element is displayed on the user device.",PHYSICS,COMPUTING; CALCULATING; COUNTING,"IMAGE DATA PROCESSING OR GENERATION, IN GENERAL"
